date,country,stringency_index
2020-01-01,Germany,0.0
2020-01-02,Germany,0.0
2020-01-03,Germany,0.0
2020-01-04,Germany,0.0
2020-01-05,Germany,0.0
2020-01-06,Germany,0.0
2020-01-07,Germany,0.0
2020-01-08,Germany,0.0
2020-01-09,Germany,0.0
2020-01-10,Germany,0.0
2020-01-11,Germany,0.0
2020-01-12,Germany,0.0
2020-01-13,Germany,0.0
2020-01-14,Germany,0.0
2020-01-15,Germany,0.0
2020-01-16,Germany,0.0
2020-01-17,Germany,0.0
2020-01-18,Germany,0.0
2020-01-19,Germany,0.0
2020-01-20,Germany,0.0
2020-01-21,Germany,0.0
2020-01-22,Germany,0.0
2020-01-23,Germany,0.0
2020-01-24,Germany,5.56
2020-01-25,Germany,5.56
2020-01-26,Germany,5.56
2020-01-27,Germany,5.56
2020-01-28,Germany,5.56
2020-01-29,Germany,5.56
2020-01-30,Germany,5.56
2020-01-31,Germany,5.56
2020-02-01,Germany,5.56
2020-02-02,Germany,5.56
2020-02-03,Germany,5.56
2020-02-04,Germany,5.56
2020-02-05,Germany,5.56
2020-02-06,Germany,5.56
2020-02-07,Germany,5.56
2020-02-08,Germany,5.56
2020-02-09,Germany,5.56
2020-02-10,Germany,5.56
2020-02-11,Germany,5.56
2020-02-12,Germany,11.11
2020-02-13,Germany,11.11
2020-02-14,Germany,11.11
2020-02-15,Germany,11.11
2020-02-16,Germany,11.11
2020-02-17,Germany,11.11
2020-02-18,Germany,11.11
2020-02-19,Germany,11.11
2020-02-20,Germany,11.11
2020-02-21,Germany,11.11
2020-02-22,Germany,11.11
2020-02-23,Germany,11.11
2020-02-24,Germany,11.11
2020-02-25,Germany,11.11
2020-02-26,Germany,16.67
2020-02-27,Germany,16.67
2020-02-28,Germany,19.44
2020-02-29,Germany,25.0
2020-03-01,Germany,25.0
2020-03-02,Germany,25.0
2020-03-03,Germany,25.0
2020-03-04,Germany,25.0
2020-03-05,Germany,25.0
2020-03-06,Germany,25.0
2020-03-07,Germany,25.0
2020-03-08,Germany,25.0
2020-03-09,Germany,28.7
2020-03-10,Germany,32.87
2020-03-11,Germany,32.87
2020-03-12,Germany,32.87
2020-03-13,Germany,32.87
2020-03-14,Germany,32.87
2020-03-15,Germany,32.87
2020-03-16,Germany,42.13
2020-03-17,Germany,42.13
2020-03-18,Germany,52.31
2020-03-19,Germany,55.09
2020-03-20,Germany,57.87
2020-03-21,Germany,68.06
2020-03-22,Germany,76.85
2020-03-23,Germany,76.85
2020-03-24,Germany,76.85
2020-03-25,Germany,76.85
2020-03-26,Germany,76.85
2020-03-27,Germany,76.85
2020-03-28,Germany,76.85
2020-03-29,Germany,76.85
2020-03-30,Germany,76.85
2020-03-31,Germany,76.85
2020-04-01,Germany,76.85
2020-04-02,Germany,76.85
2020-04-03,Germany,76.85
2020-04-04,Germany,76.85
2020-04-05,Germany,76.85
2020-04-06,Germany,76.85
2020-04-07,Germany,76.85
2020-04-08,Germany,76.85
2020-04-09,Germany,76.85
2020-04-10,Germany,76.85
2020-04-11,Germany,76.85
2020-04-12,Germany,76.85
2020-04-13,Germany,76.85
2020-04-14,Germany,76.85
2020-04-15,Germany,76.85
2020-04-16,Germany,76.85
2020-04-17,Germany,76.85
2020-04-18,Germany,76.85
2020-04-19,Germany,76.85
2020-04-20,Germany,76.85
2020-04-21,Germany,76.85
2020-04-22,Germany,76.85
2020-04-23,Germany,76.85
2020-04-24,Germany,76.85
2020-04-25,Germany,76.85
2020-04-26,Germany,76.85
2020-04-27,Germany,76.85
2020-04-28,Germany,76.85
2020-04-29,Germany,76.85
2020-04-30,Germany,76.85
2020-05-01,Germany,76.85
2020-05-02,Germany,76.85
2020-05-03,Germany,75.46
2020-05-04,Germany,71.76
2020-05-05,Germany,71.76
2020-05-06,Germany,66.2
2020-05-07,Germany,64.35
2020-05-08,Germany,64.35
2020-05-09,Germany,64.35
2020-05-10,Germany,64.35
2020-05-11,Germany,64.35
2020-05-12,Germany,64.35
2020-05-13,Germany,64.35
2020-05-14,Germany,64.35
2020-05-15,Germany,64.35
2020-05-16,Germany,61.57
2020-05-17,Germany,61.57
2020-05-18,Germany,61.57
2020-05-19,Germany,59.72
2020-05-20,Germany,59.72
2020-05-21,Germany,59.72
2020-05-22,Germany,59.72
2020-05-23,Germany,59.72
2020-05-24,Germany,59.72
2020-05-25,Germany,59.72
2020-05-26,Germany,59.72
2020-05-27,Germany,59.72
2020-05-28,Germany,59.72
2020-05-29,Germany,59.72
2020-05-30,Germany,59.72
2020-05-31,Germany,59.72
2020-06-01,Germany,59.72
2020-06-02,Germany,59.72
2020-06-03,Germany,59.72
2020-06-04,Germany,59.72
2020-06-05,Germany,59.72
2020-06-06,Germany,59.72
2020-06-07,Germany,59.72
2020-06-08,Germany,59.72
2020-06-09,Germany,59.72
2020-06-10,Germany,59.72
2020-06-11,Germany,59.72
2020-06-12,Germany,59.72
2020-06-13,Germany,59.72
2020-06-14,Germany,59.72
2020-06-15,Germany,59.72
2020-06-16,Germany,59.72
2020-06-17,Germany,59.72
2020-06-18,Germany,63.43
2020-06-19,Germany,63.43
2020-06-20,Germany,63.43
2020-06-21,Germany,63.43
2020-06-22,Germany,63.43
2020-06-23,Germany,63.43
2020-06-24,Germany,63.43
2020-06-25,Germany,63.43
2020-06-26,Germany,63.43
2020-06-27,Germany,63.43
2020-06-28,Germany,63.43
2020-06-29,Germany,63.43
2020-06-30,Germany,63.43
2020-07-01,Germany,63.43
2020-07-02,Germany,63.43
2020-07-03,Germany,63.43
2020-07-04,Germany,63.43
2020-07-05,Germany,63.43
2020-07-06,Germany,63.43
2020-07-07,Germany,55.09
2020-07-08,Germany,55.09
2020-07-09,Germany,55.09
2020-07-10,Germany,55.09
2020-07-11,Germany,55.09
2020-07-12,Germany,55.09
2020-07-13,Germany,55.09
2020-07-14,Germany,55.09
2020-07-15,Germany,55.09
2020-07-16,Germany,55.09
2020-07-17,Germany,55.09
2020-07-18,Germany,55.09
2020-07-19,Germany,55.09
2020-07-20,Germany,55.09
2020-07-21,Germany,55.09
2020-07-22,Germany,55.09
2020-07-23,Germany,55.09
2020-07-24,Germany,55.09
2020-07-25,Germany,55.09
2020-07-26,Germany,55.09
2020-07-27,Germany,55.09
2020-07-28,Germany,55.09
2020-07-29,Germany,55.09
2020-07-30,Germany,55.09
2020-07-31,Germany,57.87
2020-08-01,Germany,57.87
2020-08-02,Germany,57.87
2020-08-03,Germany,57.87
2020-08-04,Germany,57.87
2020-08-05,Germany,57.87
2020-08-06,Germany,57.87
2020-08-07,Germany,59.72
2020-08-08,Germany,56.94
2020-08-09,Germany,56.94
2020-08-10,Germany,56.94
2020-08-11,Germany,56.94
2020-08-12,Germany,56.94
2020-08-13,Germany,56.94
2020-08-14,Germany,56.94
2020-08-15,Germany,56.94
2020-08-16,Germany,56.94
2020-08-17,Germany,56.94
2020-08-18,Germany,56.94
2020-08-19,Germany,56.94
2020-08-20,Germany,56.94
2020-08-21,Germany,56.94
2020-08-22,Germany,56.94
2020-08-23,Germany,56.94
2020-08-24,Germany,59.72
2020-08-25,Germany,59.72
2020-08-26,Germany,59.72
2020-08-27,Germany,59.72
2020-08-28,Germany,59.72
2020-08-29,Germany,59.72
2020-08-30,Germany,59.72
2020-08-31,Germany,59.72
2020-09-01,Germany,59.72
2020-09-02,Germany,59.72
2020-09-03,Germany,57.87
2020-09-04,Germany,49.54
2020-09-05,Germany,49.54
2020-09-06,Germany,49.54
2020-09-07,Germany,49.54
2020-09-08,Germany,49.54
2020-09-09,Germany,49.54
2020-09-10,Germany,49.54
2020-09-11,Germany,49.54
2020-09-12,Germany,49.54
2020-09-13,Germany,49.54
2020-09-14,Germany,49.54
2020-09-15,Germany,49.54
2020-09-16,Germany,49.54
2020-09-17,Germany,49.54
2020-09-18,Germany,49.54
2020-09-19,Germany,49.54
2020-09-20,Germany,49.54
2020-09-21,Germany,49.54
2020-09-22,Germany,49.54
2020-09-23,Germany,49.54
2020-09-24,Germany,49.54
2020-09-25,Germany,49.54
2020-09-26,Germany,49.54
2020-09-27,Germany,49.54
2020-09-28,Germany,49.54
2020-09-29,Germany,49.54
2020-09-30,Germany,49.54
2020-10-01,Germany,49.54
2020-10-02,Germany,49.54
2020-10-03,Germany,49.54
2020-10-04,Germany,49.54
2020-10-05,Germany,49.54
2020-10-06,Germany,49.54
2020-10-07,Germany,49.54
2020-10-08,Germany,49.54
2020-10-09,Germany,49.54
2020-10-10,Germany,49.54
2020-10-11,Germany,49.54
2020-10-12,Germany,49.54
2020-10-13,Germany,49.54
2020-10-14,Germany,49.54
2020-10-15,Germany,58.8
2020-10-16,Germany,58.8
2020-10-17,Germany,58.8
2020-10-18,Germany,58.8
2020-10-19,Germany,58.8
2020-10-20,Germany,58.8
2020-10-21,Germany,58.8
2020-10-22,Germany,60.65
2020-10-23,Germany,60.65
2020-10-24,Germany,60.65
2020-10-25,Germany,60.65
2020-10-26,Germany,60.65
2020-10-27,Germany,60.65
2020-10-28,Germany,60.65
2020-10-29,Germany,60.65
2020-10-30,Germany,60.65
2020-10-31,Germany,60.65
2020-11-01,Germany,60.65
2020-11-02,Germany,62.04
2020-11-03,Germany,62.04
2020-11-04,Germany,62.04
2020-11-05,Germany,62.04
2020-11-06,Germany,62.04
2020-11-07,Germany,62.04
2020-11-08,Germany,62.04
2020-11-09,Germany,62.04
2020-11-10,Germany,64.81
2020-11-11,Germany,64.81
2020-11-12,Germany,64.81
2020-11-13,Germany,64.81
2020-11-14,Germany,64.81
2020-11-15,Germany,64.81
2020-11-16,Germany,64.81
2020-11-17,Germany,64.81
2020-11-18,Germany,64.81
2020-11-19,Germany,64.81
2020-11-20,Germany,64.81
2020-11-21,Germany,64.81
2020-11-22,Germany,64.81
2020-11-23,Germany,64.81
2020-11-24,Germany,64.81
2020-11-25,Germany,64.81
2020-11-26,Germany,64.81
2020-11-27,Germany,64.81
2020-11-28,Germany,64.81
2020-11-29,Germany,64.81
2020-11-30,Germany,67.59
2020-12-01,Germany,67.59
2020-12-02,Germany,67.59
2020-12-03,Germany,67.59
2020-12-04,Germany,67.59
2020-12-05,Germany,67.59
2020-12-06,Germany,67.59
2020-12-07,Germany,67.59
2020-12-08,Germany,67.59
2020-12-09,Germany,67.59
2020-12-10,Germany,67.59
2020-12-11,Germany,67.59
2020-12-12,Germany,67.59
2020-12-13,Germany,67.59
2020-12-14,Germany,67.59
2020-12-15,Germany,67.59
2020-12-16,Germany,82.41
2020-12-17,Germany,82.41
2020-12-18,Germany,82.41
2020-12-19,Germany,82.41
2020-12-20,Germany,82.41
2020-12-21,Germany,82.41
2020-12-22,Germany,82.41
2020-12-23,Germany,82.41
2020-12-24,Germany,82.41
2020-12-25,Germany,82.41
2020-12-26,Germany,82.41
2020-12-27,Germany,82.41
2020-12-28,Germany,82.41
2020-12-29,Germany,82.41
2020-12-30,Germany,82.41
2020-12-31,Germany,82.41
2021-01-01,Germany,82.41
2021-01-02,Germany,82.41
2021-01-03,Germany,82.41
2021-01-04,Germany,82.41
2021-01-05,Germany,85.19
2021-01-06,Germany,85.19
2021-01-07,Germany,85.19
2021-01-08,Germany,85.19
2021-01-09,Germany,85.19
2021-01-10,Germany,83.33
2021-01-11,Germany,83.33
2021-01-12,Germany,83.33
2021-01-13,Germany,83.33
2021-01-14,Germany,83.33
2021-01-15,Germany,83.33
2021-01-16,Germany,83.33
2021-01-17,Germany,83.33
2021-01-18,Germany,83.33
2021-01-19,Germany,83.33
2021-01-20,Germany,83.33
2021-01-21,Germany,83.33
2021-01-22,Germany,83.33
2021-01-23,Germany,83.33
2021-01-24,Germany,83.33
2021-01-25,Germany,83.33
2021-01-26,Germany,83.33
2021-01-27,Germany,83.33
2021-01-28,Germany,83.33
2021-01-29,Germany,83.33
2021-01-30,Germany,83.33
2021-01-31,Germany,83.33
2021-02-01,Germany,83.33
2021-02-02,Germany,83.33
2021-02-03,Germany,83.33
2021-02-04,Germany,83.33
2021-02-05,Germany,83.33
2021-02-06,Germany,83.33
2021-02-07,Germany,83.33
2021-02-08,Germany,83.33
2021-02-09,Germany,83.33
2021-02-10,Germany,83.33
2021-02-11,Germany,83.33
2021-02-12,Germany,83.33
2021-02-13,Germany,83.33
2021-02-14,Germany,83.33
2021-02-15,Germany,83.33
2021-02-16,Germany,83.33
2021-02-17,Germany,83.33
2021-02-18,Germany,83.33
2021-02-19,Germany,83.33
2021-02-20,Germany,83.33
2021-02-21,Germany,83.33
2021-02-22,Germany,81.48
2021-02-23,Germany,81.48
2021-02-24,Germany,81.48
2021-02-25,Germany,81.48
2021-02-26,Germany,81.48
2021-02-27,Germany,81.48
2021-02-28,Germany,81.48
2021-03-01,Germany,77.78
2021-03-02,Germany,77.78
2021-03-03,Germany,77.78
2021-03-04,Germany,77.78
2021-03-05,Germany,77.78
2021-03-06,Germany,77.78
2021-03-07,Germany,77.78
2021-03-08,Germany,77.78
2021-03-09,Germany,77.78
2021-03-10,Germany,77.78
2021-03-11,Germany,77.78
2021-03-12,Germany,77.78
2021-03-13,Germany,77.78
2021-03-14,Germany,77.78
2021-03-15,Germany,77.78
2021-03-16,Germany,77.78
2021-03-17,Germany,77.78
2021-03-18,Germany,77.78
2021-03-19,Germany,77.78
2021-03-20,Germany,75.0
2021-03-21,Germany,75.0
2021-03-22,Germany,75.0
2021-03-23,Germany,75.0
2021-03-24,Germany,75.0
2021-03-25,Germany,75.0
2021-03-26,Germany,75.0
2021-03-27,Germany,75.0
2021-03-28,Germany,75.0
2021-03-29,Germany,75.0
2021-03-30,Germany,75.0
2021-03-31,Germany,75.0
2021-04-01,Germany,75.0
2021-04-02,Germany,75.0
2021-04-03,Germany,75.0
2021-04-04,Germany,75.0
2021-04-05,Germany,75.0
2021-04-06,Germany,75.0
2021-04-07,Germany,75.0
2021-04-08,Germany,75.0
2021-04-09,Germany,75.0
2021-04-10,Germany,75.0
2021-04-11,Germany,75.0
2021-04-12,Germany,75.0
2021-04-13,Germany,75.0
2021-04-14,Germany,75.0
