date,doses,doses_first,doses_second,persons_first_cumul,persons_full_cumul,country
2020-12-27,24296,24159,137,24159,137,Germany
2020-12-28,18383,18383,0,42542,137,Germany
2020-12-29,48894,48305,589,90847,726,Germany
2020-12-30,61546,61542,4,152389,730,Germany
2020-12-31,49672,49555,117,201944,847,Germany
2021-01-01,19271,19271,0,221215,847,Germany
2021-01-02,52718,52442,276,273657,1123,Germany
2021-01-03,24148,24148,0,297805,1123,Germany
2021-01-04,48306,48306,0,346111,1123,Germany
2021-01-05,53365,53341,24,399452,1147,Germany
2021-01-06,62996,62995,1,462447,1148,Germany
2021-01-07,56205,56201,4,518648,1152,Germany
2021-01-08,63419,63101,318,581749,1470,Germany
2021-01-09,61225,61176,49,642925,1519,Germany
2021-01-10,35139,35132,7,678057,1526,Germany
2021-01-11,66440,66389,51,744446,1577,Germany
2021-01-12,82924,82874,50,827320,1627,Germany
2021-01-13,111324,111147,177,938467,1804,Germany
2021-01-14,83115,82836,279,1021303,2083,Germany
2021-01-15,90427,89715,712,1111018,2795,Germany
2021-01-16,57353,56317,1036,1167335,3831,Germany
2021-01-17,47494,30827,16667,1198162,20498,Germany
2021-01-18,81798,66053,15745,1264215,36243,Germany
2021-01-19,113493,81041,32452,1345256,68695,Germany
2021-01-20,131388,80333,51055,1425589,119750,Germany
2021-01-21,104023,64349,39674,1489938,159424,Germany
2021-01-22,101893,67515,34378,1557453,193802,Germany
2021-01-23,85363,40686,44677,1598139,238479,Germany
2021-01-24,49493,25596,23897,1623735,262376,Germany
2021-01-25,95971,58179,37792,1681914,300168,Germany
2021-01-26,99419,50966,48453,1732880,348621,Germany
2021-01-27,110908,51577,59331,1784457,407952,Germany
2021-01-28,91331,45185,46146,1829642,454098,Germany
2021-01-29,108518,51179,57339,1880821,511437,Germany
2021-01-30,86596,35290,51306,1916111,562743,Germany
2021-01-31,57769,26718,31051,1942829,593794,Germany
2021-02-01,121403,59267,62136,2002096,655930,Germany
2021-02-02,130491,63543,66948,2065639,722878,Germany
2021-02-03,157932,63689,94243,2129328,817121,Germany
2021-02-04,131153,61020,70133,2190348,887254,Germany
2021-02-05,143025,66405,76620,2256753,963874,Germany
2021-02-06,99249,46444,52805,2303197,1016679,Germany
2021-02-07,53538,28105,25433,2331302,1042112,Germany
2021-02-08,109990,53360,56630,2384662,1098742,Germany
2021-02-09,132523,59293,73230,2443955,1171972,Germany
2021-02-10,148859,73715,75144,2517670,1247116,Germany
2021-02-11,141901,73691,68210,2591361,1315326,Germany
2021-02-12,156066,80221,75845,2671582,1391171,Germany
2021-02-13,107724,61741,45983,2733323,1437154,Germany
2021-02-14,64791,39774,25017,2773097,1462171,Germany
2021-02-15,126429,70614,55815,2843711,1517986,Germany
2021-02-16,134372,81427,52945,2925138,1570931,Germany
2021-02-17,149723,94329,55394,3019467,1626325,Germany
2021-02-18,143582,91909,51673,3111376,1677998,Germany
2021-02-19,152516,98848,53668,3210224,1731666,Germany
2021-02-20,114122,76396,37726,3286620,1769392,Germany
2021-02-21,85765,56874,28891,3343494,1798283,Germany
2021-02-22,160559,99499,61060,3442993,1859343,Germany
2021-02-23,166522,106639,59883,3549632,1919226,Germany
2021-02-24,174017,115185,58832,3664817,1978058,Germany
2021-02-25,188208,129856,58352,3794673,2036410,Germany
2021-02-26,207682,143462,64220,3938135,2100630,Germany
2021-02-27,148189,108287,39902,4046422,2140532,Germany
2021-02-28,108089,83853,24236,4130275,2164768,Germany
2021-03-01,194336,145009,49327,4275284,2214095,Germany
2021-03-02,218404,164790,53614,4440074,2267709,Germany
2021-03-03,241717,173609,68108,4613683,2335817,Germany
2021-03-04,241405,178713,62692,4792396,2398509,Germany
2021-03-05,266163,199636,66527,4992032,2465036,Germany
2021-03-06,202002,152861,49141,5144893,2514177,Germany
2021-03-07,149208,114567,34641,5259460,2548818,Germany
2021-03-08,237762,185254,52508,5444714,2601326,Germany
2021-03-09,249994,195221,54773,5639935,2656099,Germany
2021-03-10,282638,217156,65482,5857091,2721581,Germany
2021-03-11,280250,219350,60900,6076441,2782481,Germany
2021-03-12,320897,249439,71458,6325880,2853939,Germany
2021-03-13,245681,196306,49375,6522186,2903314,Germany
2021-03-14,170838,134812,36026,6656998,2939340,Germany
2021-03-15,247647,188825,58822,6845823,2998162,Germany
2021-03-16,180343,113341,67002,6959164,3065164,Germany
2021-03-17,203821,124937,78884,7084101,3144048,Germany
2021-03-18,193890,119107,74783,7203208,3218831,Germany
2021-03-19,240963,158860,82103,7362068,3300934,Germany
2021-03-20,218373,164531,53842,7526599,3354776,Germany
2021-03-21,165488,126728,38760,7653327,3393536,Germany
2021-03-22,264884,188665,76219,7841992,3469755,Germany
2021-03-23,296825,213271,83554,8055263,3553309,Germany
2021-03-24,330830,243072,87758,8298335,3641067,Germany
2021-03-25,332801,253353,79448,8551688,3720515,Germany
2021-03-26,368742,280118,88624,8831806,3809139,Germany
2021-03-27,283800,220592,63208,9052398,3872347,Germany
2021-03-28,195031,142279,52752,9194677,3925099,Germany
2021-03-29,305757,217234,88523,9411911,4013622,Germany
2021-03-30,323696,231049,92647,9642960,4106269,Germany
2021-03-31,335386,232992,102394,9875952,4208663,Germany
2021-04-01,317661,226040,91621,10101992,4300284,Germany
2021-04-02,228265,156864,71401,10258856,4371685,Germany
2021-04-03,229102,163058,66044,10421914,4437729,Germany
2021-04-04,194881,141353,53528,10563267,4491257,Germany
2021-04-05,249271,175942,73329,10739209,4564586,Germany
2021-04-06,375587,277210,98377,11016419,4662963,Germany
2021-04-07,671537,576288,95249,11592707,4758212,Germany
2021-04-08,724580,636315,88265,12229022,4846477,Germany
2021-04-09,615113,529682,85431,12758704,4931908,Germany
2021-04-10,361022,296631,64391,13055335,4996299,Germany
2021-04-11,255342,205724,49618,13261059,5045917,Germany
2021-04-12,406951,332569,74382,13593628,5120299,Germany
2021-04-13,530537,464701,65836,14058329,5186135,Germany
